,orf,label_x,label_y
0,YEL007W,non_ess,non_ess
1,YNL099C,non_ess,non_ess
2,YMR216C,non_ess,non_ess
3,YBL067C,non_ess,non_ess
4,YMR070W,non_ess,non_ess
5,YOR274W,non_ess,non_ess
6,YOL087C,non_ess,non_ess
7,YHR030C,non_ess,non_ess
8,YKR026C,non_ess,non_ess
9,YNL032W,non_ess,non_ess
10,YCR034W,non_ess,non_ess
11,YDR035W,non_ess,non_ess
12,YMR304W,non_ess,non_ess
13,YGR057C,non_ess,non_ess
14,YER019W,non_ess,non_ess
15,YGR184C,non_ess,non_ess
16,YHL034C,non_ess,non_ess
17,YDR067C,non_ess,non_ess
18,YLR055C,non_ess,non_ess
19,YDR289C,non_ess,non_ess
20,YGR208W,non_ess,non_ess
21,YDR306C,non_ess,non_ess
22,YDR314C,non_ess,non_ess
23,YDL018C,non_ess,non_ess
24,YDR162C,non_ess,non_ess
25,YOR184W,non_ess,non_ess
26,YLR286C,non_ess,non_ess
27,YPL214C,non_ess,non_ess
28,YDL210W,non_ess,non_ess
29,YDR097C,non_ess,non_ess
30,YOR381W,non_ess,non_ess
31,YOR239W,non_ess,non_ess
32,YDR152W,non_ess,non_ess
33,YLR126C,non_ess,non_ess
34,YNR019W,non_ess,non_ess
35,YML022W,non_ess,non_ess
36,YDR408C,non_ess,non_ess
37,YGR061C,non_ess,non_ess
38,YJL126W,non_ess,non_ess
39,YHR178W,non_ess,non_ess
40,YPL098C,non_ess,non_ess
41,YLR058C,non_ess,non_ess
42,YJL024C,non_ess,non_ess
43,YJR105W,non_ess,non_ess
44,YMR123W,non_ess,non_ess
45,YDL226C,non_ess,non_ess
46,YJR060W,non_ess,non_ess
47,YNL316C,non_ess,non_ess
48,YMR300C,non_ess,non_ess
49,YER091C,non_ess,non_ess
50,YGL251C,non_ess,non_ess
51,YLR303W,non_ess,non_ess
52,YPR003C,non_ess,non_ess
53,YDR336W,non_ess,non_ess
54,YIL090W,non_ess,non_ess
55,YIL130W,non_ess,non_ess
56,YPR079W,non_ess,non_ess
57,YIR023W,non_ess,non_ess
58,YKR061W,non_ess,non_ess
59,YBR288C,non_ess,non_ess
60,YDR108W,non_ess,non_ess
61,YER123W,non_ess,non_ess
62,YER176W,non_ess,non_ess
63,YKL106W,non_ess,non_ess
64,YMR284W,non_ess,non_ess
65,YGR193C,non_ess,non_ess
66,YPR028W,non_ess,non_ess
67,YCR033W,non_ess,non_ess
68,YBR035C,non_ess,non_ess
69,YHL024W,non_ess,non_ess
70,YML009C,non_ess,non_ess
71,YKL126W,non_ess,non_ess
72,YBR290W,non_ess,non_ess
73,YDR389W,non_ess,non_ess
74,YOR246C,non_ess,non_ess
75,YJR119C,non_ess,non_ess
76,YMR209C,non_ess,non_ess
77,YMR073C,non_ess,non_ess
78,YJR075W,non_ess,non_ess
79,YJL080C,non_ess,non_ess
80,YNL229C,non_ess,non_ess
81,YMR238W,non_ess,non_ess
82,YLR085C,non_ess,non_ess
83,YOL041C,non_ess,non_ess
84,YER059W,non_ess,non_ess
85,YML123C,non_ess,non_ess
86,YOR070C,non_ess,non_ess
87,YDL074C,non_ess,non_ess
88,YJL212C,non_ess,non_ess
89,YJL095W,non_ess,non_ess
90,YOL006C,non_ess,non_ess
91,YJR005W,non_ess,non_ess
92,YEL042W,non_ess,non_ess
93,YAL040C,non_ess,non_ess
94,YDR270W,non_ess,non_ess
95,YLR015W,non_ess,non_ess
96,YJR058C,non_ess,non_ess
97,YFR048W,non_ess,non_ess
98,YDL001W,non_ess,non_ess
99,YOL018C,non_ess,non_ess
100,YER151C,non_ess,non_ess
101,YIL154C,non_ess,non_ess
102,YLR418C,non_ess,non_ess
103,YKL190W,non_ess,non_ess
104,YPL065W,non_ess,non_ess
105,YJR102C,non_ess,non_ess
106,YPL002C,non_ess,non_ess
107,YLR025W,non_ess,non_ess
108,YHL027W,non_ess,non_ess
109,YNR029C,non_ess,non_ess
110,YCR026C,non_ess,non_ess
111,YOR275C,non_ess,non_ess
112,YLR113W,non_ess,non_ess
113,YDR276C,non_ess,non_ess
114,YJL128C,non_ess,non_ess
115,YDL022W,non_ess,non_ess
116,YNL183C,non_ess,non_ess
117,YLR330W,non_ess,non_ess
118,YMR289W,non_ess,non_ess
119,YOR356W,non_ess,non_ess
120,YLR120C,non_ess,non_ess
121,YLL040C,non_ess,non_ess
122,YMR152W,non_ess,non_ess
123,YPL037C,non_ess,non_ess
124,YPL227C,non_ess,non_ess
125,YPR173C,non_ess,non_ess
126,YMR077C,non_ess,non_ess
127,YMR102C,non_ess,non_ess
128,YHR207C,non_ess,non_ess
129,YMR109W,non_ess,non_ess
130,YOR067C,non_ess,non_ess
131,YDL100C,non_ess,non_ess
132,YDL101C,non_ess,non_ess
133,YCR017C,non_ess,non_ess
134,YKL041W,non_ess,non_ess
135,YLR417W,non_ess,non_ess
136,YDR049W,non_ess,non_ess
137,YOR051C,non_ess,non_ess
138,YOR164C,non_ess,non_ess
139,YMR121C,non_ess,non_ess
140,YNL257C,non_ess,non_ess
141,YPL120W,non_ess,non_ess
142,YNR006W,non_ess,non_ess
143,YPL084W,non_ess,non_ess
144,YBR231C,non_ess,non_ess
145,YAL002W,non_ess,non_ess
146,YLR114C,non_ess,non_ess
147,YPL183C,non_ess,non_ess
148,YBR215W,non_ess,non_ess
149,YNL288W,non_ess,non_ess
150,YNL027W,non_ess,non_ess
151,YNL206C,non_ess,non_ess
152,YJR140C,non_ess,non_ess
153,YBL008W,non_ess,non_ess
154,YJL036W,non_ess,non_ess
155,YDL236W,non_ess,non_ess
156,YNL307C,non_ess,non_ess
157,YNL201C,non_ess,non_ess
158,YDR414C,non_ess,non_ess
159,YLR436C,non_ess,non_ess
160,YJR137C,non_ess,non_ess
161,YKR069W,non_ess,non_ess
162,YIL044C,non_ess,non_ess
163,YJR073C,non_ess,non_ess
164,YJL088W,non_ess,non_ess
165,YMR062C,non_ess,non_ess
166,YOR069W,non_ess,non_ess
167,YOR132W,non_ess,non_ess
168,YOR136W,non_ess,non_ess
169,YJR010W,non_ess,non_ess
170,YDL146W,non_ess,non_ess
171,YOL003C,non_ess,non_ess
172,YAR003W,non_ess,non_ess
173,YOR123C,non_ess,non_ess
174,YDL134C,non_ess,non_ess
175,YOL062C,non_ess,non_ess
176,YDR253C,non_ess,non_ess
177,YCL010C,non_ess,non_ess
178,YNR007C,non_ess,non_ess
179,YGL006W,non_ess,non_ess
180,YHR082C,non_ess,non_ess
181,YJL073W,non_ess,non_ess
182,YLR006C,non_ess,non_ess
183,YDR297W,non_ess,non_ess
184,YBL061C,non_ess,non_ess
185,YBR260C,non_ess,non_ess
186,YMR015C,non_ess,non_ess
187,YNL070W,non_ess,non_ess
188,YNL231C,non_ess,non_ess
189,YKL135C,non_ess,non_ess
190,YDR372C,non_ess,non_ess
191,YNL219C,non_ess,non_ess
192,YDR395W,non_ess,non_ess
193,YJL099W,non_ess,non_ess
194,YOL089C,non_ess,non_ess
195,YJL187C,non_ess,non_ess
196,YER005W,non_ess,non_ess
197,YKL101W,non_ess,non_ess
198,YLR170C,non_ess,non_ess
199,YDR469W,non_ess,non_ess
200,YDR005C,non_ess,non_ess
201,YJL207C,non_ess,non_ess
202,YCR098C,non_ess,non_ess
203,YER048C,non_ess,non_ess
204,YEL012W,non_ess,non_ess
205,YKR080W,non_ess,non_ess
206,YKL156W,non_ess,non_ess
207,YKL178C,non_ess,non_ess
208,YKL181W,non_ess,non_ess
209,YKL184W,non_ess,non_ess
210,YKL191W,non_ess,non_ess
211,YKL197C,non_ess,non_ess
212,YKL205W,non_ess,non_ess
213,YKL209C,non_ess,non_ess
214,YKL213C,non_ess,non_ess
215,YKL220C,non_ess,non_ess
216,YKR024C,non_ess,non_ess
217,YKR031C,non_ess,non_ess
218,YKR039W,non_ess,non_ess
219,YKR050W,non_ess,non_ess
220,YKR055W,non_ess,non_ess
221,YKR076W,non_ess,non_ess
222,YKR084C,non_ess,non_ess
223,YLL001W,non_ess,non_ess
224,YLL002W,non_ess,non_ess
225,YLL009C,non_ess,non_ess
226,YLL010C,non_ess,non_ess
227,YLL015W,non_ess,non_ess
228,YLL018C-A,non_ess,non_ess
229,YLL019C,non_ess,non_ess
230,YLL021W,non_ess,non_ess
231,YLL026W,non_ess,non_ess
232,YLL041C,non_ess,non_ess
233,YLR024C,non_ess,non_ess
234,YLR034C,non_ess,non_ess
235,YLR038C,non_ess,non_ess
236,YLR083C,non_ess,non_ess
237,YLR096W,non_ess,non_ess
238,YLR107W,non_ess,non_ess
239,YLR131C,non_ess,non_ess
240,YLR138W,non_ess,non_ess
241,YLR144C,non_ess,non_ess
242,YLR150W,non_ess,non_ess
243,YLR172C,non_ess,non_ess
244,YLR188W,non_ess,non_ess
245,YLR191W,non_ess,non_ess
246,YLR203C,non_ess,non_ess
247,YLR207W,non_ess,non_ess
248,YLR242C,non_ess,non_ess
249,YLR244C,non_ess,non_ess
250,YLR246W,non_ess,non_ess
251,YLR248W,non_ess,non_ess
252,YLR250W,non_ess,non_ess
253,YLR264W,non_ess,non_ess
254,YLR289W,non_ess,non_ess
255,YLR299W,non_ess,non_ess
256,YLR309C,non_ess,non_ess
257,YLR319C,non_ess,non_ess
258,YLR325C,non_ess,non_ess
259,YLR348C,non_ess,non_ess
260,YLR354C,non_ess,non_ess
261,YLR357W,non_ess,non_ess
262,YLR377C,non_ess,non_ess
263,YLR393W,non_ess,non_ess
264,YLR399C,non_ess,non_ess
265,YLR421C,non_ess,non_ess
266,YLR438W,non_ess,non_ess
267,YLR448W,non_ess,non_ess
268,YML001W,non_ess,non_ess
269,YML021C,non_ess,non_ess
270,YML026C,non_ess,non_ess
271,YML032C,non_ess,non_ess
272,YML035C,non_ess,non_ess
273,YML054C,non_ess,non_ess
274,YML057W,non_ess,non_ess
275,YML063W,non_ess,non_ess
276,YML067C,non_ess,non_ess
277,YML074C,non_ess,non_ess
278,YML081C-A,non_ess,non_ess
279,YML086C,non_ess,non_ess
280,YML095C,non_ess,non_ess
281,YML106W,non_ess,non_ess
282,YML110C,non_ess,non_ess
283,YMR019W,non_ess,non_ess
284,YMR021C,non_ess,non_ess
285,YMR023C,non_ess,non_ess
286,YMR026C,non_ess,non_ess
287,YMR035W,non_ess,non_ess
288,YMR065W,non_ess,non_ess
289,YMR089C,non_ess,non_ess
290,YMR092C,non_ess,non_ess
291,YMR096W,non_ess,non_ess
292,YLR044C,non_ess,non_ess
293,YJR084W,non_ess,non_ess
294,YKR082W,non_ess,non_ess
295,YKR093W,non_ess,non_ess
296,YLL028W,non_ess,non_ess
297,YLR014C,non_ess,non_ess
298,YLR032W,non_ess,non_ess
299,YLR059C,non_ess,non_ess
300,YLR084C,non_ess,non_ess
301,YLR090W,non_ess,non_ess
302,YLR109W,non_ess,non_ess
303,YLR130C,non_ess,non_ess
304,YLR133W,non_ess,non_ess
305,YLR136C,non_ess,non_ess
306,YLR139C,non_ess,non_ess
307,YLR142W,non_ess,non_ess
308,YLR146C,non_ess,non_ess
309,YLR174W,non_ess,non_ess
310,YLR200W,non_ess,non_ess
311,YLR288C,non_ess,non_ess
312,YLR300W,non_ess,non_ess
313,YLR318W,non_ess,non_ess
314,YLR335W,non_ess,non_ess
315,YLR337C,non_ess,non_ess
316,YLR351C,non_ess,non_ess
317,YLR362W,non_ess,non_ess
318,YLR372W,non_ess,non_ess
319,YLR380W,non_ess,non_ess
320,YLR384C,non_ess,non_ess
321,YLR389C,non_ess,non_ess
322,YLR396C,non_ess,non_ess
323,YLR398C,non_ess,non_ess
324,YLR403W,non_ess,non_ess
325,YLR410W,non_ess,non_ess
326,YLR420W,non_ess,non_ess
327,YLR429W,non_ess,non_ess
328,YML004C,non_ess,non_ess
329,YML007W,non_ess,non_ess
330,YML016C,non_ess,non_ess
331,YML027W,non_ess,non_ess
332,YML034W,non_ess,non_ess
333,YML038C,non_ess,non_ess
334,YML078W,non_ess,non_ess
335,YML094W,non_ess,non_ess
336,YML099C,non_ess,non_ess
337,YML102W,non_ess,non_ess
338,YML103C,non_ess,non_ess
339,YML115C,non_ess,non_ess
340,YMR008C,non_ess,non_ess
341,YMR012W,non_ess,non_ess
342,YMR044W,non_ess,non_ess
343,YMR078C,non_ess,non_ess
344,YMR080C,non_ess,non_ess
345,YMR095C,non_ess,non_ess
346,YMR100W,non_ess,non_ess
347,YMR106C,non_ess,non_ess
348,YMR129W,non_ess,non_ess
349,YMR137C,non_ess,non_ess
350,YMR139W,non_ess,non_ess
351,YMR143W,non_ess,non_ess
352,YMR161W,non_ess,non_ess
353,YMR224C,non_ess,non_ess
354,YMR234W,non_ess,non_ess
355,YMR241W,non_ess,non_ess
356,YMR243C,non_ess,non_ess
357,YMR246W,non_ess,non_ess
358,YMR273C,non_ess,non_ess
359,YMR280C,non_ess,non_ess
360,YMR287C,non_ess,non_ess
361,YMR292W,non_ess,non_ess
362,YMR302C,non_ess,non_ess
363,YNL020C,non_ess,non_ess
364,YNL021W,non_ess,non_ess
365,YNL025C,non_ess,non_ess
366,YNL031C,non_ess,non_ess
367,YNL037C,non_ess,non_ess
368,YOR245C,non_ess,non_ess
369,YKL046C,non_ess,non_ess
370,YMR097C,non_ess,non_ess
371,YKR030W,non_ess,non_ess
372,YHR111W,non_ess,non_ess
373,YOR267C,non_ess,non_ess
374,YHR067W,non_ess,non_ess
375,YOL071W,non_ess,non_ess
376,YDR255C,non_ess,non_ess
377,YOL054W,non_ess,non_ess
378,YGL020C,non_ess,non_ess
379,YOR165W,non_ess,non_ess
380,YOR243C,non_ess,non_ess
381,YOR049C,non_ess,non_ess
382,YML068W,non_ess,non_ess
383,YLR270W,non_ess,non_ess
384,YGR096W,non_ess,non_ess
385,YMR140W,non_ess,non_ess
386,YHR194W,non_ess,non_ess
387,YHR176W,non_ess,non_ess
388,YPL157W,non_ess,non_ess
389,YDR425W,non_ess,non_ess
390,YCR105W,non_ess,non_ess
391,YLR285W,non_ess,non_ess
392,YDR116C,non_ess,non_ess
393,YGR086C,non_ess,non_ess
394,YPL004C,non_ess,non_ess
395,YBL057C,non_ess,non_ess
396,YHR189W,non_ess,non_ess
397,YOL093W,non_ess,non_ess
398,YPL170W,non_ess,non_ess
399,YKL160W,non_ess,non_ess
400,YEL015W,non_ess,non_ess
401,YGL198W,non_ess,non_ess
402,YDL213C,non_ess,non_ess
403,YGL161C,non_ess,non_ess
404,YGR268C,non_ess,non_ess
405,YBL049W,non_ess,non_ess
406,YLR097C,non_ess,non_ess
407,YDL046W,non_ess,non_ess
408,YER119C,non_ess,non_ess
409,YIL088C,non_ess,non_ess
410,YEL064C,non_ess,non_ess
411,YNL101W,non_ess,non_ess
412,YGR173W,non_ess,non_ess
413,YGL144C,non_ess,non_ess
414,YIL007C,non_ess,non_ess
415,YNL253W,non_ess,non_ess
416,YNL127W,non_ess,non_ess
417,YMR029C,non_ess,non_ess
418,YDR084C,non_ess,non_ess
419,YDR100W,non_ess,non_ess
420,YHR181W,non_ess,non_ess
421,YIL041W,non_ess,non_ess
422,YMR071C,non_ess,non_ess
423,YLR405W,non_ess,non_ess
424,YLR401C,non_ess,non_ess
425,YKL005C,non_ess,non_ess
426,YMR313C,non_ess,non_ess
427,YAL048C,non_ess,non_ess
428,YDR105C,non_ess,non_ess
429,YKL051W,non_ess,non_ess
430,YGL164C,non_ess,non_ess
431,YML014W,non_ess,non_ess
432,YDR036C,non_ess,non_ess
433,YBR216C,non_ess,non_ess
434,YOR155C,non_ess,non_ess
435,YGR003W,non_ess,non_ess
436,YMR069W,non_ess,non_ess
437,YDR346C,non_ess,non_ess
438,YDR071C,non_ess,non_ess
439,YKL086W,non_ess,non_ess
440,YNR067C,non_ess,non_ess
441,YJL020C,non_ess,non_ess
442,YCL016C,non_ess,non_ess
443,YCL061C,non_ess,non_ess
444,YPR008W,non_ess,non_ess
445,YPL101W,non_ess,non_ess
446,YER002W,non_ess,non_ess
447,YPR154W,non_ess,non_ess
448,YBL051C,non_ess,non_ess
449,YGL066W,non_ess,non_ess
450,YDR496C,non_ess,non_ess
451,YPL196W,non_ess,non_ess
452,YGL014W,non_ess,non_ess
453,YLL013C,non_ess,non_ess
454,YPL165C,non_ess,non_ess
455,YKR029C,non_ess,non_ess
456,YPL138C,non_ess,non_ess
457,YBR175W,non_ess,non_ess
458,YJL100W,non_ess,non_ess
459,YCL034W,non_ess,non_ess
460,YPR128C,non_ess,non_ess
461,YDR525W-A,non_ess,non_ess
462,YDL115C,non_ess,non_ess
463,YNL218W,non_ess,non_ess
464,YOR258W,non_ess,non_ess
465,YOR273C,non_ess,non_ess
466,YFL047W,non_ess,non_ess
467,YPL249C,non_ess,non_ess
468,YFL027C,non_ess,non_ess
469,YCL036W,non_ess,non_ess
470,YHR156C,non_ess,non_ess
471,YKR044W,non_ess,non_ess
472,YOR197W,non_ess,non_ess
473,YOR137C,non_ess,non_ess
474,YDR214W,non_ess,non_ess
475,YBL032W,non_ess,non_ess
476,YMR145C,non_ess,non_ess
477,YGL136C,non_ess,non_ess
478,YPL100W,non_ess,non_ess
479,YJR082C,non_ess,non_ess
480,YKL034W,non_ess,non_ess
481,YOR359W,non_ess,non_ess
482,YLR386W,non_ess,non_ess
483,YDL219W,non_ess,non_ess
484,YPL133C,non_ess,non_ess
485,YJL060W,non_ess,non_ess
486,YGL064C,non_ess,non_ess
487,YDR200C,non_ess,non_ess
488,YPR139C,non_ess,non_ess
489,YOL129W,non_ess,non_ess
490,YJR126C,non_ess,non_ess
491,YML041C,non_ess,non_ess
492,YGR101W,non_ess,non_ess
493,YNL091W,non_ess,non_ess
494,YDR101C,non_ess,non_ess
495,YDL201W,non_ess,non_ess
496,YDR165W,non_ess,non_ess
497,YHL002W,non_ess,non_ess
498,YOR253W,non_ess,non_ess
499,YNL094W,non_ess,non_ess
500,YDL113C,non_ess,non_ess
501,YKL179C,non_ess,non_ess
502,YOL030W,non_ess,non_ess
503,YOL132W,non_ess,non_ess
504,YGL131C,non_ess,non_ess
505,YLR251W,non_ess,non_ess
506,YLR361C,non_ess,non_ess
507,YPR031W,non_ess,non_ess
508,YPL181W,non_ess,non_ess
509,YMR075W,non_ess,non_ess
510,YBR095C,non_ess,non_ess
511,YOR042W,non_ess,non_ess
512,YHR076W,non_ess,non_ess
513,YEL024W,non_ess,non_ess
514,YMR108W,non_ess,non_ess
515,YMR116C,non_ess,non_ess
516,YMR120C,non_ess,non_ess
517,YMR315W,non_ess,non_ess
518,YNL045W,non_ess,non_ess
519,YNL056W,non_ess,non_ess
520,YNL080C,non_ess,non_ess
521,YNL083W,non_ess,non_ess
522,YNL092W,non_ess,non_ess
523,YNL115C,non_ess,non_ess
524,YNL116W,non_ess,non_ess
525,YNL119W,non_ess,non_ess
526,YNL123W,non_ess,non_ess
527,YNL129W,non_ess,non_ess
528,YNL134C,non_ess,non_ess
529,YNL200C,non_ess,non_ess
530,YNL275W,non_ess,non_ess
531,YNL321W,non_ess,non_ess
532,YNL326C,non_ess,non_ess
533,YNR018W,non_ess,non_ess
534,YNR047W,non_ess,non_ess
535,YOL008W,non_ess,non_ess
536,YOL032W,non_ess,non_ess
537,YOL075C,non_ess,non_ess
538,YOL124C,non_ess,non_ess
539,YOL138C,non_ess,non_ess
540,YOR093C,non_ess,non_ess
541,YOR111W,non_ess,non_ess
542,YOR154W,non_ess,non_ess
543,YOR175C,non_ess,non_ess
544,YOR223W,non_ess,non_ess
545,YOR283W,non_ess,non_ess
546,YOR289W,non_ess,non_ess
547,YOR291W,non_ess,non_ess
548,YOR292C,non_ess,non_ess
549,YOR322C,non_ess,non_ess
550,YOR378W,non_ess,non_ess
551,YPL009C,non_ess,non_ess
552,YPL030W,non_ess,non_ess
553,YPL110C,non_ess,non_ess
554,YPL191C,non_ess,non_ess
555,YPL199C,non_ess,non_ess
556,YPL208W,non_ess,non_ess
557,YPL236C,non_ess,non_ess
558,YPL247C,non_ess,non_ess
559,YPL260W,non_ess,non_ess
560,YPR004C,non_ess,non_ess
561,YPR013C,non_ess,non_ess
562,YPR022C,non_ess,non_ess
563,YPR045C,non_ess,non_ess
564,YPR093C,non_ess,non_ess
565,YEL037C,non_ess,non_ess
